"Transaction ID","Transaction Type","Transaction Created Date","Transaction Modified Date","Product ID","Quantity","Purchase Order ID","Customer Order ID","Comments"
"35","1","2006-03-22 16:02:28","2006-03-22 16:02:28","80","75","","",""
"36","1","2006-03-22 16:02:48","2006-03-22 16:02:48","72","40","","",""
"37","1","2006-03-22 16:03:04","2006-03-22 16:03:04","52","100","","",""
"38","1","2006-03-22 16:03:09","2006-03-22 16:03:09","56","120","","",""
"39","1","2006-03-22 16:03:14","2006-03-22 16:03:14","57","80","","",""
"40","1","2006-03-22 16:03:40","2006-03-22 16:03:40","6","100","","",""
"41","1","2006-03-22 16:03:47","2006-03-22 16:03:47","7","40","","",""
"42","1","2006-03-22 16:03:54","2006-03-22 16:03:54","8","40","","",""
"43","1","2006-03-22 16:04:02","2006-03-22 16:04:02","14","40","","",""
"44","1","2006-03-22 16:04:07","2006-03-22 16:04:07","17","40","","",""
"45","1","2006-03-22 16:04:12","2006-03-22 16:04:12","19","20","","",""
"46","1","2006-03-22 16:04:17","2006-03-22 16:04:17","20","40","","",""
"47","1","2006-03-22 16:04:20","2006-03-22 16:04:20","21","20","","",""
"48","1","2006-03-22 16:04:24","2006-03-22 16:04:24","40","120","","",""
"49","1","2006-03-22 16:04:28","2006-03-22 16:04:28","41","40","","",""
"50","1","2006-03-22 16:04:31","2006-03-22 16:04:31","48","100","","",""
"51","1","2006-03-22 16:04:38","2006-03-22 16:04:38","51","40","","",""
"52","1","2006-03-22 16:04:41","2006-03-22 16:04:41","74","20","","",""
"53","1","2006-03-22 16:04:45","2006-03-22 16:04:45","77","60","","",""
"54","1","2006-03-22 16:05:07","2006-03-22 16:05:07","3","100","","",""
"55","1","2006-03-22 16:05:11","2006-03-22 16:05:11","4","40","","",""
"56","1","2006-03-22 16:05:14","2006-03-22 16:05:14","5","40","","",""
"57","1","2006-03-22 16:05:26","2006-03-22 16:05:26","65","40","","",""
"58","1","2006-03-22 16:05:32","2006-03-22 16:05:32","66","80","","",""
"59","1","2006-03-22 16:05:47","2006-03-22 16:05:47","1","40","","",""
"60","1","2006-03-22 16:05:51","2006-03-22 16:05:51","34","60","","",""
"61","1","2006-03-22 16:06:00","2006-03-22 16:06:00","43","100","","",""
"62","1","2006-03-22 16:06:03","2006-03-22 16:06:03","81","125","","",""
"63","2","2006-03-22 16:07:56","2006-03-24 11:03:00","80","30","","",""
"64","2","2006-03-22 16:08:19","2006-03-22 16:08:59","7","10","","",""
"65","2","2006-03-22 16:08:29","2006-03-22 16:08:59","51","10","","",""
"66","2","2006-03-22 16:08:37","2006-03-22 16:08:59","80","10","","",""
"67","2","2006-03-22 16:09:46","2006-03-22 16:10:27","1","15","","",""
"68","2","2006-03-22 16:10:06","2006-03-22 16:10:27","43","20","","",""
"69","2","2006-03-22 16:11:39","2006-03-24 11:00:55","19","20","","",""
"70","2","2006-03-22 16:11:56","2006-03-24 10:59:41","48","10","","",""
"71","2","2006-03-22 16:12:29","2006-03-24 10:57:38","8","17","","",""
"72","1","2006-03-24 10:41:30","2006-03-24 10:41:30","81","200","","",""
"73","2","2006-03-24 10:41:33","2006-03-24 10:41:42","81","200","","","Fill Back Ordered product, Order #40"
"74","1","2006-03-24 10:53:13","2006-03-24 10:53:13","48","100","","",""
"75","2","2006-03-24 10:53:16","2006-03-24 10:55:46","48","100","","","Fill Back Ordered product, Order #39"
"76","1","2006-03-24 10:53:36","2006-03-24 10:53:36","43","300","","",""
"77","2","2006-03-24 10:53:39","2006-03-24 10:56:57","43","300","","","Fill Back Ordered product, Order #38"
"78","1","2006-03-24 10:54:04","2006-03-24 10:54:04","41","200","","",""
"79","2","2006-03-24 10:54:07","2006-03-24 10:58:40","41","200","","","Fill Back Ordered product, Order #36"
"80","1","2006-03-24 10:54:33","2006-03-24 10:54:33","19","30","","",""
"81","2","2006-03-24 10:54:35","2006-03-24 11:02:02","19","30","","","Fill Back Ordered product, Order #33"
"82","1","2006-03-24 10:54:58","2006-03-24 10:54:58","34","100","","",""
"83","2","2006-03-24 10:55:02","2006-03-24 11:03:00","34","100","","","Fill Back Ordered product, Order #30"
"84","2","2006-03-24 14:48:15","2006-04-04 11:41:14","6","10","","",""
"85","2","2006-03-24 14:48:23","2006-04-04 11:41:14","4","10","","",""
"86","3","2006-03-24 14:49:16","2006-03-24 14:49:16","80","20","","",""
"87","3","2006-03-24 14:49:20","2006-03-24 14:49:20","81","50","","",""
"88","3","2006-03-24 14:50:09","2006-03-24 14:50:09","1","25","","",""
"89","3","2006-03-24 14:50:14","2006-03-24 14:50:14","43","25","","",""
"90","3","2006-03-24 14:50:18","2006-03-24 14:50:18","81","25","","",""
"91","2","2006-03-24 14:51:03","2006-04-04 11:09:24","40","50","","",""
"92","2","2006-03-24 14:55:03","2006-04-04 11:06:56","21","20","","",""
"93","2","2006-03-24 14:55:39","2006-04-04 11:06:13","5","25","","",""
"94","2","2006-03-24 14:55:52","2006-04-04 11:06:13","41","30","","",""
"95","2","2006-03-24 14:56:09","2006-04-04 11:06:13","40","30","","",""
"96","3","2006-03-30 16:46:34","2006-03-30 16:46:34","34","12","","",""
"97","3","2006-03-30 17:23:27","2006-03-30 17:23:27","34","10","","",""
"98","3","2006-03-30 17:24:33","2006-03-30 17:24:33","34","1","","",""
"99","2","2006-04-03 13:50:08","2006-04-03 13:50:15","48","10","","",""
