"ID","Purchase Order ID","Product ID","Quantity","Unit Cost","Date Received","Posted To Inventory","Inventory ID"
"238","90","1","40.0000","14","2006-01-22 00:00:00","True","59"
"239","91","3","100.0000","8","2006-01-22 00:00:00","True","54"
"240","91","4","40.0000","16","2006-01-22 00:00:00","True","55"
"241","91","5","40.0000","16","2006-01-22 00:00:00","True","56"
"242","92","6","100.0000","19","2006-01-22 00:00:00","True","40"
"243","92","7","40.0000","22","2006-01-22 00:00:00","True","41"
"244","92","8","40.0000","30","2006-01-22 00:00:00","True","42"
"245","92","14","40.0000","17","2006-01-22 00:00:00","True","43"
"246","92","17","40.0000","29","2006-01-22 00:00:00","True","44"
"247","92","19","20.0000","7","2006-01-22 00:00:00","True","45"
"248","92","20","40.0000","61","2006-01-22 00:00:00","True","46"
"249","92","21","20.0000","8","2006-01-22 00:00:00","True","47"
"250","90","34","60.0000","10","2006-01-22 00:00:00","True","60"
"251","92","40","120.0000","14","2006-01-22 00:00:00","True","48"
"252","92","41","40.0000","7","2006-01-22 00:00:00","True","49"
"253","90","43","100.0000","34","2006-01-22 00:00:00","True","61"
"254","92","48","100.0000","10","2006-01-22 00:00:00","True","50"
"255","92","51","40.0000","40","2006-01-22 00:00:00","True","51"
"256","93","52","100.0000","5","2006-01-22 00:00:00","True","37"
"257","93","56","120.0000","28","2006-01-22 00:00:00","True","38"
"258","93","57","80.0000","15","2006-01-22 00:00:00","True","39"
"259","91","65","40.0000","16","2006-01-22 00:00:00","True","57"
"260","91","66","80.0000","13","2006-01-22 00:00:00","True","58"
"261","94","72","40.0000","26","2006-01-22 00:00:00","True","36"
"262","92","74","20.0000","8","2006-01-22 00:00:00","True","52"
"263","92","77","60.0000","10","2006-01-22 00:00:00","True","53"
"264","95","80","75.0000","3","2006-01-22 00:00:00","True","35"
"265","90","81","125.0000","2","2006-01-22 00:00:00","True","62"
"266","96","34","100.0000","10","2006-01-22 00:00:00","True","82"
"267","97","19","30.0000","7","2006-01-22 00:00:00","True","80"
"268","98","41","200.0000","7","2006-01-22 00:00:00","True","78"
"269","99","43","300.0000","34","2006-01-22 00:00:00","True","76"
"270","100","48","100.0000","10","2006-01-22 00:00:00","True","74"
"271","101","81","200.0000","2","2006-01-22 00:00:00","True","72"
"272","102","43","300.0000","34","","False",""
"273","103","19","10.0000","7","2006-04-17 00:00:00","True","111"
"274","104","41","50.0000","7","2006-04-06 00:00:00","True","115"
"275","105","57","100.0000","15","2006-04-05 00:00:00","True","100"
"276","106","72","50.0000","26","2006-04-05 00:00:00","True","113"
"277","107","34","300.0000","10","2006-04-05 00:00:00","True","107"
"278","108","8","25.0000","30","2006-04-05 00:00:00","True","105"
"279","109","19","25.0000","7","2006-04-05 00:00:00","True","109"
"280","110","43","250.0000","34","2006-04-10 00:00:00","True","103"
"281","90","1","40.0000","14","","False",""
"282","92","19","20.0000","7","","False",""
"283","111","34","50.0000","10","2006-04-04 00:00:00","True","102"
"285","91","3","50.0000","8","","False",""
"286","91","4","40.0000","16","","False",""
"288","140","85","10.0000","9","","False",""
"289","141","6","10.0000","18.75","","False",""
"290","142","1","1.0000","13.5","","False",""
"292","146","20","40.0000","60","","False",""
"293","146","51","40.0000","39","","False",""
"294","147","40","120.0000","13","","False",""
"295","148","72","40.0000","26","","False",""
