Date,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
2021-11-08T15:49:57.865-05:00,Icebox,defeat,Jett,5,1,14,3,1327,2447,0,0,0,0.357142857,9,Silver 1
2021-11-07T17:06:44.201-05:00,Fracture,victory,Killjoy,12,5,9,1,2169,1871,9,0,2,1.333333333,7,Silver 1
2021-11-07T16:28:18.946-05:00,Breeze,defeat,Yoru,3,1,17,2,895,3077,0,0,1,0.176470588,9,Silver 1
2021-11-07T15:32:01.224-05:00,Haven,victory,Jett,11,6,19,6,2685,3633,1,0,0,0.578947368,9,Silver 1
2021-11-07T13:40:04.085-05:00,Ascent,defeat,Breach,15,8,20,3,2925,3671,0,0,1,0.75,4,Silver 1
2021-11-06T17:34:26.463-04:00,Haven,defeat,Breach,8,6,17,7,2218,3193,0,0,0,0.470588235,8,Silver 1
2021-11-06T16:59:49.534-04:00,Ascent,victory,Phoenix,7,5,13,1,1697,2952,0,0,2,0.538461538,9,Silver 1
2021-11-06T15:58:11.789-04:00,Split,defeat,Cypher,14,5,18,7,2174,3649,4,0,0,0.777777778,8,Silver 1
2021-11-06T15:06:34.149-04:00,Bind,defeat,Breach,12,9,21,5,2651,3513,1,1,2,0.571428571,10,Silver 1
2021-11-06T14:33:24.052-04:00,Ascent,defeat,Breach,17,12,16,1,3126,2344,0,0,2,1.0625,4,Silver 1
2021-11-05T17:17:46.965-04:00,Breeze,defeat,Omen,14,10,19,4,3132,3569,1,1,0,0.736842105,7,Silver 1
2021-11-04T19:32:21.462-04:00,Breeze,defeat,Phoenix,8,3,22,4,1655,4436,3,1,0,0.363636364,10,Silver 2
2021-11-04T18:51:06.335-04:00,Split,defeat,Cypher,7,4,15,2,1575,2712,3,0,1,0.466666667,10,Silver 2
2021-11-04T17:52:41.476-04:00,Ascent,victory,Jett,17,10,17,5,3035,3050,1,1,3,1,7,Silver 1
2021-11-04T16:59:07.163-04:00,Haven,victory,Phoenix,11,4,15,4,2114,3111,1,0,1,0.733333333,9,Silver 1
2021-11-04T16:24:06.879-04:00,Split,defeat,Cypher,8,3,17,5,1809,2788,0,0,4,0.470588235,8,Silver 2
2021-11-04T15:48:19.9-04:00,Icebox,defeat,Omen,20,13,14,5,3994,2557,0,1,1,1.428571429,1,Silver 2
