,Date,hour,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
0,2021-11-08,15:49:57,Icebox,0,Jett,5,1,14,3,1327,2447,0,0,0,0.357142857,9,Silver 1
1,2021-11-07,17:06:44,Fracture,1,Killjoy,12,5,9,1,2169,1871,9,0,2,1.333333333,7,Silver 1
2,2021-11-07,16:28:18,Breeze,0,Yoru,3,1,17,2,895,3077,0,0,1,0.176470588,9,Silver 1
3,2021-11-07,15:32:01,Haven,1,Jett,11,6,19,6,2685,3633,1,0,0,0.578947368,9,Silver 1
4,2021-11-07,13:40:04,Ascent,0,Breach,15,8,20,3,2925,3671,0,0,1,0.75,4,Silver 1
5,2021-11-06,17:34:26,Haven,0,Breach,8,6,17,7,2218,3193,0,0,0,0.470588235,8,Silver 1
6,2021-11-06,16:59:49,Ascent,1,Phoenix,7,5,13,1,1697,2952,0,0,2,0.538461538,9,Silver 1
7,2021-11-06,15:58:11,Split,0,Cypher,14,5,18,7,2174,3649,4,0,0,0.777777778,8,Silver 1
8,2021-11-06,15:06:34,Bind,0,Breach,12,9,21,5,2651,3513,1,1,2,0.571428571,10,Silver 1
9,2021-11-06,14:33:24,Ascent,0,Breach,17,12,16,1,3126,2344,0,0,2,1.0625,4,Silver 1
10,2021-11-05,17:17:46,Breeze,0,Omen,14,10,19,4,3132,3569,1,1,0,0.736842105,7,Silver 1
11,2021-11-04,19:32:21,Breeze,0,Phoenix,8,3,22,4,1655,4436,3,1,0,0.363636364,10,Silver 2
12,2021-11-04,18:51:06,Split,0,Cypher,7,4,15,2,1575,2712,3,0,1,0.466666667,10,Silver 2
13,2021-11-04,17:52:41,Ascent,1,Jett,17,10,17,5,3035,3050,1,1,3,1.0,7,Silver 1
14,2021-11-04,16:59:07,Haven,1,Phoenix,11,4,15,4,2114,3111,1,0,1,0.733333333,9,Silver 1
15,2021-11-04,16:24:06,Split,0,Cypher,8,3,17,5,1809,2788,0,0,4,0.470588235,8,Silver 2
16,2021-11-04,15:48:19,Icebox,0,Omen,20,13,14,5,3994,2557,0,1,1,1.428571429,1,Silver 2
17,2021-11-03,17:00:05,Icebox,1,Sage,21,12,12,7,3381,2533,9,0,1,1.75,2,Silver 1
18,2021-11-03,16:21:23,Ascent,0,Phoenix,11,9,15,3,2240,3121,0,0,0,0.733333333,9,Unrated
19,2021-11-02,16:06:54,Ascent,0,Jett,17,7,23,7,3182,4153,2,1,1,0.739130435,6,Silver 2
20,2021-11-04,15:48:19,Icebox,0,Omen,20,13,14,5,3994,2557,0,1,1,1.428571429,1,Silver 2
21,2021-11-03,17:00:05,Icebox,1,Sage,21,12,12,7,3381,2533,9,0,1,1.75,2,Silver 1
22,2021-11-03,16:21:23,Ascent,0,Phoenix,11,9,15,3,2240,3121,0,0,0,0.733333333,9,Unrated
23,2021-11-02,16:06:54,Ascent,0,Jett,17,7,23,7,3182,4153,2,1,1,0.739130435,6,Silver 2
24,2021-11-02,15:20:48,Split,0,Cypher,14,5,19,6,2676,3208,0,0,2,0.736842105,7,Silver 2
25,2021-11-01,18:24:55,Fracture,1,Cypher,20,11,15,6,3491,2987,2,0,0,1.333333333,2,Silver 2
26,2021-11-01,17:51:33,Bind,1,Cypher,8,1,11,4,1352,1971,0,0,0,0.727272727,9,Silver 1
27,2021-11-01,16:59:31,Ascent,1,Cypher,12,5,17,5,2340,3265,3,0,1,0.705882353,8,Silver 1
28,2021-11-01,16:19:56,Icebox,0,Jett,12,10,15,1,2562,2458,1,0,2,0.8,5,Silver 1
29,2021-10-31,21:37:08,Bind,0,Cypher,11,7,15,0,2195,2754,0,0,1,0.733333333,6,Silver 2
30,2021-10-31,21:07:49,Breeze,0,Phoenix,9,6,11,2,2182,2312,0,1,0,0.818181818,5,Silver 2
31,2021-10-31,20:23:33,Icebox,1,Omen,7,4,16,1,1328,3168,0,0,2,0.4375,9,Silver 2
32,2021-10-31,14:03:35,Fracture,0,Omen,10,5,20,7,2252,3595,1,1,0,0.5,8,Silver 2
33,2021-10-30,18:25:40,Haven,1,Cypher,7,4,14,3,1737,2945,3,1,0,0.5,10,Silver 2
34,2021-10-30,18:01:33,Ascent,0,Omen,6,2,13,3,1075,2285,0,1,0,0.461538462,8,Silver 2
35,2021-10-30,17:11:47,Icebox,0,Sage,3,3,21,6,1218,3555,4,0,2,0.142857143,10,Silver 2
36,2021-10-30,16:14:50,Haven,0,Sova,10,7,19,11,2892,3485,2,0,0,0.526315789,8,Silver 2
37,2021-10-30,15:32:28,Bind,1,Omen,17,8,9,5,3367,1956,1,0,0,1.888888889,5,Silver 2
38,2021-10-30,11:59:32,Breeze,1,Omen,11,7,13,8,2263,2323,5,2,2,0.846153846,8,Silver 2
39,2021-10-30,11:27:49,Bind,0,Sage,4,1,15,5,1266,2599,1,0,2,0.266666667,9,Silver 2
40,2021-10-29,18:13:00,Fracture,1,Omen,19,8,17,5,2988,3347,2,2,2,1.117647059,5,Silver 2
41,2021-10-29,17:46:15,Fracture,0,Cypher,10,5,10,3,1900,2075,0,0,2,1.0,3,Silver 2
42,2021-10-28,19:21:51,Icebox,0,Phoenix,22,12,25,6,4426,5120,0,0,3,0.88,6,Silver 2
43,2021-10-28,18:51:10,Split,0,Cypher,6,3,16,3,1562,2590,2,0,1,0.375,10,Silver 2
44,2021-10-28,18:10:33,Haven,1,Killjoy,11,9,13,7,2317,2479,4,0,2,0.846153846,7,Silver 2
