ID,Area,Sub Area,lat,long,Type
"
AN-04M19
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.118029," -1.006052
","
Freshwater – Rivers
"
"
AN-04M10
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.143213," -1.089693
","
Freshwater – Rivers
"
"
AN-01M14
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.001217," -1.051585
","
Freshwater – Rivers
"
"
AN-061492
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.914789," -0.747866
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-04959
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.151983," -1.01411
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-04M17
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.089424," -1.144135
","
Freshwater – Rivers
"
"
AN-061062
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.889878," -0.697699
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-061687
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.854047," -0.630359
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-021691
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.900954," -0.929543
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-021126
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.949657," -0.899094
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-061654
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.91596," -0.709754
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
MD-52032
","
Shropshire Herefordshire Worcestershire And Gloucestershire
","
Wye And Teme
",51.839144," -2.640167
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
MD-52045
","
Shropshire Herefordshire Worcestershire And Gloucestershire
","
Wye And Teme
",52.117255," -3.030147
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
MD-53175538
","
Derbyshire Nottinghamshire And Leicestershire
","
Dukeries And The Trent
",52.97643," -1.060446
","
Trade Discharges – Site Drainage
"
"
MD-H0000028
","
Shropshire Herefordshire Worcestershire And Gloucestershire
","
Wye And Teme
",51.866933," -2.775063
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
AN-04M02
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.11742," -1.048887
","
Freshwater – Rivers
"
"
NE-49200291
","
Yorkshire
","
Esk, Derwent, Hull
",53.883124," -0.312743
","
Freshwater – Rivers
"
"
NE-49300509
","
Yorkshire
","
Don, Rother
",53.569022," -1.383477
","
Trade Discharges – Site Drainage
"
"
AN-08M30
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.969592," -0.746296
","
Freshwater – Rivers
"
"
AN-03M02
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.012911," -0.925606
","
Freshwater – Rivers
"
"
NW-88025711
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.76826," -2.586517
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
NW-RSN1976
","
Greater Manchester Merseyside And Cheshire
","
Cheshire
",53.223856," -2.78849
","
Freshwater – Rivers
"
"
NW-88002363
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.553756," -2.190941
","
Freshwater – Rivers
"
"
MD-45781020
","
Derbyshire Nottinghamshire And Leicestershire
","
Derbyshire, Derwent And Erewash
",53.021588," -1.323043
","
Freshwater – Rivers
"
"
AN-07M03
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",51.918565," -0.647852
","
Freshwater – Rivers
"
"
NW-88001857
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.326644," -1.987326
","
Freshwater – Rivers
"
"
SW-81250274
","
Devon And Cornwall
","
Central Devon And Cornwall
",50.599768," -4.318723
","
Trade Discharges – Mineral Workings
"
"
AN-09M06
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.055345," -0.701017
","
Freshwater – Rivers
"
"
NE-49300662
","
Yorkshire
","
Don, Rother
",53.588101," -1.234836
","
Freshwater – Rivers
"
"
SO-E0000695
","
Kent And South London
","
L&W Medway And Rother   Ksl
",51.098749," 0.350866
","
Freshwater – Rivers
"
"
AN-113643
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.152669," -0.485115
","
Trade Discharges – Process Effluent – Water Company (Wtw)
"
"
AN-531576
","
Cambridgeshire And Bedfordshire
","
Brampton Team Sub Area
",52.362135," -0.157972
","
Sewage & Trade Combined – Unspecified
"
"
TH-POCR0015
","
West Thames
","
L&W North   Wt
",51.649728," -1.434808
","
Freshwater – Unspecified
"
"
NE-49301634
","
Yorkshire
","
Don, Rother
",53.514919," -1.59052
","
Freshwater – Rivers
"
"
AN-BL3192B
","
Essex Norfolk And Suffolk
","
Essex Team Sub Area
",51.809168," 0.661594
","
Trade Discharges – Site Drainage
"
"
SO-E0000568
","
Kent And South London
","
L&W Medway And Rother   Ksl
",51.176704," 0.595062
","
Freshwater – Rivers
"
"
AN-HALLFMPK
","
Lincolnshire And Northamptonshire
","
North Team Sub Area
",53.463964," -0.420608
","
Sewage & Trade Combined – Unspecified
"
